品类,显示名称,菜谱1,菜谱2,菜谱3,图片,详情页文案
花蛤,花蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,辣炒花蛤,／,
文蛤,文蛤（约1斤／份）,超鲜葱油蛤蜊,蛤蜊炖蛋,蛤蜊饭,／,
,,,,,,
斑节虾,斑节虾（活）5两起卖,白灼斑节虾,豉油斑节虾,葱爆斑节虾,／,
草虾,草虾（活）5两起卖,柠檬盐烤虾,黑胡椒奶油虾,沙茶干烧虾,／,
明虾,明虾（活）5两起卖,油焖大虾,日式炸大虾,香煎大明虾,／,
基围虾,基围虾（活）5两起卖,蒜蓉粉丝虾,白灼基围虾,口水虾,／,
河虾,有籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾,／,
,无籽河虾（活）5两起卖,油爆虾,韭菜炒河虾,醉虾,／,
大头虾,大头虾（活）5两起卖,水煮大头虾,油爆大头虾,菠萝油条虾,／,
虾姑（皮皮虾）,皮皮虾（活）5两起卖,清蒸皮皮虾,椒盐皮皮虾,辣炒皮皮虾,／,
虾仁,生剥虾仁 5两起卖,芦笋百合烩虾仁,虾仁炒蛋,虾丸,／,
冷冻虾仁,冷冻虾仁（约200g／份）,水晶虾仁,龙井虾仁,虾仁滑蛋,／,
,,,,,,
梭子蟹,梭子蟹（活）约3两／只,姜葱炒梭子蟹,秘制香辣蟹,梭子蟹粉丝煲,／,
青蟹,青蟹（活）约6两／份,青蟹炒年糕,葱姜炒青蟹,避风塘炒蟹,／,
花蟹,花蟹（活）约5两／份,爆炒花蟹,清蒸花蟹,葱姜炒花蟹,／,
,,,,,,
鱿鱼,鱿鱼 约1斤／条,爆炒鱿鱼圈,酥炸鱿鱼圈,双椒炒鱿鱼卷,／,
,,,,,,
海带丝,鲜海带丝 约5两／份,凉拌海带,清炒海带,蛤蜊海带豆腐汤,／,
海带结,鲜海带结 约4两／份,海带豆腐汤,海带排骨汤,海带玉米汤,／,
鲍鱼（小）,鲜活小鲍鱼 2只起卖,鲍鱼红烧肉,海鲜鲍鱼汤,清蒸小鲍鱼,／,
鲍鱼（大）,鲜活大鲍鱼 2只起卖,清蒸鲍鱼,鲍鱼汤,鲍鱼红烧肉,／,
扇贝,鲜活大扇贝 2只起卖,蒜蓉粉丝蒸扇贝,清蒸扇贝,烤扇贝,／,
竹蛏,鲜活竹蛏 约1斤／份,盐烤竹蛏,辣炒竹蛏,蒜蓉竹蛏,／,
,,,,,,
鸡蛋,鸡蛋 10个／份（约1斤）,水蒸蛋,鸡蛋饼,英式炒蛋,／,
草鸡蛋,草鸡蛋 10个／份（约1斤）,金钱蛋,鸡蛋饼,赛螃蟹,／,
鸭蛋,鸭蛋 8个／份（约1斤）,蘑菇炒鸭蛋,姜丝炒鸭蛋,自制咸鸭蛋,／,
咸鸭蛋,流油咸鸭蛋 ,蛋黄玉米,蛋黄南瓜,蛋黄肉粽,／,
鹌鹑蛋,鹌鹑蛋 约5两／份,蒜香五花肉烧鹌鹑蛋,酱烧黄金鹌鹑蛋,糖醋虎皮鹌鹑蛋,／,
鹌鹑蛋（熟）,熟鹌鹑蛋（去壳） 约5两／份,腌笃鲜,红烧肉鹌鹑蛋,卤鹌鹑蛋,／,
松花蛋（皮蛋）,松花蛋（皮蛋）,皮蛋瘦肉粥,皮蛋豆腐,凉拌皮蛋,／,
,,,,,,
厚百叶,清美 厚百叶 约4两／份,凉拌百叶丝,三丝炒厚百叶,油泼厚百叶,／,
豆腐衣,清美 豆腐衣 85g／包,豆腐衣包肉,黄金豆皮卷,豆腐衣包菌菇,／,
油面筋,清美 油面筋 75g／包,油面筋塞肉,油面筋炖大白菜,土豆烧油面筋,／,
素鸡,素鸡 250g／包,红烧脆皮素鸡,彩椒炒香菇素鸡,孜然五香素鸡,／,
绢豆腐,清美 绢豆腐,鱼香嫩豆腐,皮蛋拌豆腐,豆腐羹,／,
内脂豆腐,清美 内脂豆腐,鱼香嫩豆腐,皮蛋拌豆腐,豆腐羹,／,
腐竹,干腐竹 约3两／份,凉拌腐竹木耳,清炒腐竹,腐竹炒芹菜,／,
五香干,五香干 2块／份,芹菜花生拌香干,卤香干,木耳炒香干,／,
白豆干,白豆干 2块／份,韭香豆干,青椒炒白豆干,家常小炒豆干,／,
油豆腐,小油豆腐 约3两／份,油豆腐炒肉,油豆腐塞肉,红烧油豆腐,／,
老豆腐,老豆腐 约1斤／份,糖醋脆皮豆腐,家常豆腐,老豆腐炖白菜,／,
烤麸,烤麸 约5两／份,四喜烤麸,凉拌烤麸,素什锦,／,
,,,,,,
大排,大排 约1斤／份,葱烤大排,红烧大排,日式炸猪排,／,
小排,小排 约1斤／份,糖醋小排,孜然排骨,萝卜小排汤,／,
肋排,肋排 约 1斤／份,蒜香排骨,玉米炖排骨,酱香排骨,／,
猪脚,猪脚 约,茶香炖猪手,黄豆猪蹄汤,沙姜猪手,／,
猪肚,猪肚 约1斤／份,青椒猪肚片,胡椒猪肚汤,猪肚包鸡,／,
大肠,猪大肠 约1斤／份,火爆肥肠,干锅肥肠,白切肥肠,／,
猪肝,猪肝 约1斤／份,青椒洋葱炒猪肝,菠菜猪肝汤,爆炒猪肝,／,
里脊肉,里脊肉 约5两／份,软炸里脊肉,里脊土豆条,京酱肉丝,／,
五花肉,五花肉 约1斤／份,红烧肉,红烧狮子头,脆皮烧肉,／,
纯精肉,纯精肉 约2两／份,京酱肉丝,鱼香肉丝,香菇肉糜,／,
筒骨,筒骨 约1.2斤／份,筒骨汤,酱香筒骨,,／,
蹄膀,蹄膀 约2斤／份,红烧蹄膀,黄豆蹄膀,酱香蹄膀,／,
肥牛卷,优质肥牛卷 约半斤／盒,酸汤金针肥牛卷,窝蛋肥牛卷,黑胡椒肥牛卷,／,
牛腱,牛腱 约1斤／份,五香牛腱,私房白切牛腱,西红柿炖牛腱,／,
牛腩,牛腩 约1斤／份,萝卜炖牛腩,咖喱牛腩,香辣牛腩,／,
,,,,,,
鸡全翅,鸡全翅 4个／份,干锅香辣鸡翅,卤鸡翅,柠香烤鸡翅,／,
鸡腿,鸡腿 2个／份 ,蒜香鸡腿排,口水鸡腿,苏梅鸡腿,／,
鸡中翅,鸡中翅 6个／份 ,蜜汁鸡翅,盐煎鸡翅,孜然烤鸡翅,／,
鸡翅根,鸡翅根 6个／份 ,红烧鸡翅根,椒盐烤翅根,黄记煌三汁焖锅,／,
鸡胸肉,鸡胸肉 约1斤／份,椒麻手撕鸡胸肉,西芹核桃仁炒鸡胸肉,烤面包鸡胸佐圣女果色拉,／,
鸡爪,鸡爪 约1斤／份,酸辣鸡爪,卤鸡爪,糟卤鸡爪,／,
鸭腿,鸭腿 2个／份,土匪鸭,蜜汁烤鸭腿,酱香鸭腿肉,／,
鸭血,鸭血 约5两／份,大蒜叶鸭血汤,鸭血粉丝汤,,／,
,,,,,,
锅贴,现包锅贴  10个／份,,,,,
小笼,现包小笼 10个／份,,,,／,
散养鸡,,,,,,
